CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	8	1105	0.72	1113
2	23	3071	0.74	3094
3	57	2707	2.06	2764
4	65	3733	1.71	3798
5	76	2350	3.13	2426
6	78	3709	2.06	3787
7	123	5279	2.28	5402
8	59	3650	1.59	3709
9	86	3417	2.46	3503
10	88	3451	2.49	3539
11	76	2910	2.55	2986
12	78	3124	2.44	3202
13	96	4389	2.14	4485
14	91	4190	2.13	4281
15	70	3529	1.94	3599
16	107	2848	3.62	2955
17	84	3268	2.51	3352
18	72	2887	2.43	2959
19	61	2511	2.37	2572
20	76	3336	2.23	3412
21	79	3449	2.24	3528
22	87	2813	3.00	2900
23	50	2674	1.84	2724
24	90	3253	2.69	3343
25	68	3487	1.91	3555
26	78	2818	2.69	2896
27	70	3125	2.19	3195
28	75	2497	2.92	2572
29	61	3114	1.92	3175
30	83	2795	2.88	2878
31	76	3136	2.37	3212
32	92	3264	2.74	3356
33	86	2955	2.83	3041
34	41	2285	1.76	2326
35	62	2454	2.46	2516
36	47	2185	2.11	2232
37	56	1790	3.03	1846
38	63	2298	2.67	2361
39	42	2149	1.92	2191
40	42	1820	2.26	1862
41	41	2028	1.98	2069
42	49	1923	2.48	1972
43	32	2606	1.21	2638
44	43	1276	3.26	1319
45	31	1783	1.71	1814
46	48	1252	3.69	1300
47	29	1391	2.04	1420
48	34	1088	3.03	1122
49	40	1263	3.07	1303
50	23	1376	1.64	1399

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	15	2116	0.70	2131
2	34	2405	1.39	2439
3	78	3772	2.03	3850
4	79	4254	1.82	4333
5	91	3944	2.26	4035
6	120	5042	2.32	5162
7	115	4464	2.51	4579
8	64	3438	1.83	3502
9	108	5464	1.94	5572
10	106	4527	2.29	4633
11	85	3507	2.37	3592
12	121	5333	2.22	5454
13	90	4602	1.92	4692
14	127	4434	2.78	4561
15	119	4772	2.43	4891
16	126	4402	2.78	4528
17	136	5059	2.62	5195
18	144	4782	2.92	4926
19	143	5397	2.58	5540
20	116	4158	2.71	4274
21	119	4588	2.53	4707
22	135	4511	2.91	4646
23	113	4530	2.43	4643
24	112	4303	2.54	4415
25	122	4004	2.96	4126
26	92	5305	1.70	5397
27	83	3443	2.35	3526
28	105	4595	2.23	4700
29	108	4165	2.53	4273
30	99	3634	2.65	3733
31	130	4901	2.58	5031
32	109	3937	2.69	4046
33	68	3436	1.94	3504
34	94	3725	2.46	3819
35	84	2702	3.02	2786
36	118	5113	2.26	5231
37	79	3062	2.52	3141
38	71	2794	2.48	2865
39	106	4383	2.36	4489
40	70	3220	2.13	3290
41	68	2822	2.35	2890
42	83	3606	2.25	3689
43	108	3689	2.84	3797
44	45	2514	1.76	2559
45	51	2067	2.41	2118
46	75	2724	2.68	2799
47	39	1913	2.00	1952
48	50	1618	3.00	1668
49	43	2066	2.04	2109
50	56	1920	2.83	1976

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	13	2378	0.54	2391
2	58	4931	1.16	4989
3	111	5336	2.04	5447
4	90	4609	1.92	4699
5	154	5854	2.56	6008
6	112	5982	1.84	6094
7	97	5106	1.86	5203
8	118	5710	2.02	5828
9	143	7474	1.88	7617
10	94	5102	1.81	5196
11	131	7526	1.71	7657
12	145	6401	2.22	6546
13	100	5202	1.89	5302
14	128	5986	2.09	6114
15	123	5668	2.12	5791
16	129	5825	2.17	5954
17	125	4622	2.63	4747
18	188	6185	2.95	6373
19	140	4796	2.84	4936
20	132	4897	2.62	5029
21	162	6107	2.58	6269
22	101	5240	1.89	5341
23	150	5280	2.76	5430
24	182	6044	2.92	6226
25	103	4446	2.26	4549
26	121	5278	2.24	5399
27	131	5622	2.28	5753
28	97	4735	2.01	4832
29	105	5682	1.81	5787
30	125	6166	1.99	6291
31	88	4515	1.91	4603
32	119	5157	2.26	5276
33	108	4918	2.15	5026
34	67	3787	1.74	3854
35	109	5196	2.05	5305
36	108	5137	2.06	5245
37	81	4260	1.87	4341
38	91	4403	2.02	4494
39	107	4686	2.23	4793
40	76	3675	2.03	3751
41	80	3870	2.03	3950
42	86	4342	1.94	4428
43	69	3750	1.81	3819
44	78	3508	2.18	3586
45	75	3560	2.06	3635
46	52	2736	1.87	2788
47	70	2919	2.34	2989
48	60	3656	1.61	3716
49	45	3412	1.30	3457
50	60	2392	2.45	2452

