CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	2	603	0.33	605
2	16	1494	1.06	1510
3	29	1303	2.18	1332
4	42	1863	2.20	1905
5	34	1132	2.92	1166
6	46	1790	2.51	1836
7	67	2633	2.48	2700
8	33	1769	1.83	1802
9	50	1597	3.04	1647
10	63	1676	3.62	1739
11	49	1327	3.56	1376
12	51	1591	3.11	1642
13	50	2069	2.36	2119
14	55	2068	2.59	2123
15	47	1698	2.69	1745
16	59	1369	4.13	1428
17	52	1578	3.19	1630
18	39	1417	2.68	1456
19	35	1194	2.85	1229
20	49	1641	2.90	1690
21	45	1731	2.53	1776
22	57	1345	4.07	1402
23	27	1273	2.08	1300
24	55	1597	3.33	1652
25	32	1699	1.85	1731
26	44	1411	3.02	1455
27	42	1493	2.74	1535
28	43	1122	3.69	1165
29	44	1545	2.77	1589
30	49	1270	3.71	1319
31	38	1469	2.52	1507
32	43	1501	2.78	1544
33	52	1376	3.64	1428
34	18	1058	1.67	1076
35	38	1078	3.41	1116
36	23	989	2.27	1012
37	30	840	3.45	870
38	36	1039	3.35	1075
39	20	930	2.11	950
40	25	786	3.08	811
41	19	907	2.05	926
42	23	849	2.64	872
43	20	1178	1.67	1198
44	26	572	4.35	598
45	17	779	2.14	796
46	25	525	4.55	550
47	12	612	1.92	624
48	17	455	3.60	472
49	24	557	4.13	581
50	13	595	2.14	608

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	11	991	1.10	1002
2	13	1112	1.16	1125
3	54	1800	2.91	1854
4	42	2097	1.96	2139
5	46	1939	2.32	1985
6	65	2400	2.64	2465
7	66	2062	3.10	2128
8	35	1696	2.02	1731
9	56	2666	2.06	2722
10	62	2158	2.79	2220
11	57	1762	3.13	1819
12	74	2466	2.91	2540
13	41	2120	1.90	2161
14	73	2095	3.37	2168
15	76	2235	3.29	2311
16	76	2158	3.40	2234
17	77	2458	3.04	2535
18	83	2235	3.58	2318
19	95	2569	3.57	2664
20	62	2024	2.97	2086
21	65	2214	2.85	2279
22	89	2084	4.10	2173
23	64	2176	2.86	2240
24	57	2080	2.67	2137
25	65	1839	3.41	1904
26	47	2492	1.85	2539
27	45	1668	2.63	1713
28	61	2173	2.73	2234
29	63	1987	3.07	2050
30	57	1617	3.41	1674
31	67	2333	2.79	2400
32	66	1835	3.47	1901
33	44	1537	2.78	1581
34	46	1774	2.53	1820
35	45	1209	3.59	1254
36	60	2372	2.47	2432
37	49	1404	3.37	1453
38	31	1225	2.47	1256
39	59	2017	2.84	2076
40	37	1446	2.49	1483
41	33	1265	2.54	1298
42	40	1616	2.42	1656
43	58	1666	3.36	1724
44	22	1069	2.02	1091
45	28	868	3.12	896
46	39	1172	3.22	1211
47	26	856	2.95	882
48	25	704	3.43	729
49	24	885	2.64	909
50	30	801	3.61	831

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	8	991	0.80	999
2	26	2263	1.14	2289
3	58	2438	2.32	2496
4	49	2238	2.14	2287
5	90	2759	3.16	2849
6	68	2818	2.36	2886
7	56	2383	2.30	2439
8	60	2602	2.25	2662
9	74	3480	2.08	3554
10	52	2500	2.04	2552
11	69	3502	1.93	3571
12	92	2989	2.99	3081
13	43	2318	1.82	2361
14	72	2815	2.49	2887
15	62	2701	2.24	2763
16	82	2658	2.99	2740
17	69	2081	3.21	2150
18	108	2907	3.58	3015
19	85	2265	3.62	2350
20	64	2194	2.83	2258
21	88	2769	3.08	2857
22	59	2386	2.41	2445
23	76	2468	2.99	2544
24	115	2883	3.84	2998
25	61	2071	2.86	2132
26	65	2487	2.55	2552
27	65	2605	2.43	2670
28	53	2217	2.33	2270
29	61	2649	2.25	2710
30	75	2880	2.54	2955
31	44	2054	2.10	2098
32	71	2314	2.98	2385
33	59	2302	2.50	2361
34	34	1682	1.98	1716
35	56	2425	2.26	2481
36	55	2408	2.23	2463
37	44	1907	2.26	1951
38	38	1944	1.92	1982
39	61	2135	2.78	2196
40	39	1648	2.31	1687
41	39	1739	2.19	1778
42	40	2005	1.96	2045
43	29	1619	1.76	1648
44	42	1609	2.54	1651
45	43	1525	2.74	1568
46	31	1232	2.45	1263
47	39	1288	2.94	1327
48	32	1622	1.93	1654
49	21	1538	1.35	1559
50	35	1007	3.36	1042

